gender,customer_type,age,type_of_travel,class,flight_distance,inflight_wifi_service,departure/arrival_time_convenient,ease_of_online_booking,food_and_drink,inflight_entertainment,baggage_handling,cleanliness,departure_delay_in_minutes,arrival_delay_in_minutes,satisfaction
Male,Loyal Customer,54,Business Travel,Business,484.0,3,3,3,3,5,5,5,0.0,1.0,Satisfied
Male,Loyal Customer,39,Business Travel,Business,484.0,4,4,4,4,4,4,4,33.0,24.0,Unknown
Male,Loyal Customer,46,Business Travel,Business,484.0,3,3,3,1,5,5,3,25.0,23.0,Satisfied
Female,Loyal Customer,22,Business Travel,Business,484.0,3,2,2,3,3,3,3,2.0,0.0,Dissatisfied
Male,Disloyal Customer,39,Business Travel,Business,484.0,2,2,2,4,4,4,4,0.0,0.0,Neutral
Male,Loyal Customer,54,Business Travel,Business,484.0,5,5,5,2,5,5,4,0.0,0.0,Satisfied
Female,Loyal Customer,44,Business Travel,Business,484.0,5,5,4,3,2,2,4,0.0,0.0,Satisfied
Female,Loyal Customer,24,Business Travel,Business,484.0,5,5,5,5,5,5,5,1.0,45.0,Dissatisfied
Male,Loyal Customer,50,Business Travel,Business,484.0,3,3,3,5,5,5,5,27.0,11.0,Satisfied
Male,Disloyal Customer,22,Business Travel,Business,484.0,5,1,5,3,3,5,3,7.0,1.0,Satisfied
Female,Disloyal Customer,25,Business Travel,Business,484.0,5,1,5,5,5,4,5,0.0,0.0,Unknown
Female,Loyal Customer,46,Business Travel,Business,484.0,2,2,2,4,4,4,3,0.0,0.0,Satisfied
Male,Loyal Customer,53,Business Travel,Business,484.0,5,5,5,3,5,5,3,14.0,8.0,Satisfied
Male,Loyal Customer,30,Business Travel,Business,337.0,2,2,3,4,4,4,4,10.0,0.0,Satisfied
Female,Loyal Customer,37,Business Travel,Business,484.0,3,2,2,3,3,3,4,0.0,0.0,Dissatisfied
Female,Disloyal Customer,25,Business Travel,Business,484.0,4,5,4,3,3,4,3,0.0,0.0,Unknown
Male,Loyal Customer,46,Business Travel,Business,486.0,4,4,4,4,4,4,3,11.0,18.0,Satisfied
Male,Disloyal Customer,27,Business Travel,Business,486.0,5,5,5,4,4,5,4,21.0,13.0,Satisfied
Male,Loyal Customer,47,Business Travel,Business,486.0,4,4,1,2,2,2,5,0.0,0.0,Satisfied
Female,Loyal Customer,39,Business Travel,Business,486.0,4,4,3,3,2,2,3,37.0,42.0,Satisfied
Female,Loyal Customer,10,Personal Travel,Business,337.0,3,1,3,4,4,4,4,0.0,0.0,Neutral
Male,Loyal Customer,55,Business Travel,Business,486.0,5,5,5,5,4,4,5,9.0,4.0,Satisfied
Female,Loyal Customer,61,Personal Travel,Business,486.0,1,2,3,4,4,4,4,0.0,0.0,Neutral
Female,Loyal Customer,53,Business Travel,Business,486.0,1,1,1,5,5,5,4,0.0,0.0,Satisfied
Male,Loyal Customer,50,Business Travel,Business,486.0,5,5,5,4,5,5,4,0.0,0.0,Satisfied
Female,Disloyal Customer,39,Business Travel,Business,486.0,3,3,3,5,5,4,5,0.0,0.0,Neutral
Female,Loyal Customer,38,Business Travel,Business,486.0,1,1,2,2,5,5,4,11.0,2.0,Satisfied
Female,Disloyal Customer,22,Business Travel,Business,486.0,5,1,3,4,4,4,4,0.0,0.0,Neutral
Female,Loyal Customer,50,Business Travel,Business,486.0,3,3,3,5,5,5,5,25.0,30.0,Satisfied
Male,Loyal Customer,43,Business Travel,Business,486.0,3,4,4,3,3,3,2,60.0,57.0,Dissatisfied
Male,Loyal Customer,46,Business Travel,Business,486.0,4,4,4,5,5,5,3,0.0,0.0,Satisfied
Male,Loyal Customer,52,Business Travel,Business,486.0,5,5,5,2,4,4,3,96.0,88.0,Satisfied
Male,Loyal Customer,39,Business Travel,Business,486.0,3,4,4,3,3,3,2,0.0,15.0,Dissatisfied
Female,Disloyal Customer,20,Business Travel,Business,486.0,5,1,5,2,5,4,2,0.0,0.0,Satisfied
Male,Loyal Customer,41,Personal Travel,Business,486.0,2,2,2,1,5,3,4,36.0,30.0,Dissatisfied
Male,Loyal Customer,45,Business Travel,Business,488.0,3,3,3,4,5,5,5,70.0,89.0,Satisfied
Male,Disloyal Customer,39,Business Travel,Business,488.0,5,4,5,5,5,5,5,72.0,76.0,Neutral
Female,Disloyal Customer,35,Business Travel,Business,488.0,3,3,3,2,2,5,2,0.0,0.0,Dissatisfied
Male,Loyal Customer,36,Business Travel,Business,488.0,2,5,5,5,2,2,3,73.0,62.0,Dissatisfied
Female,Disloyal Customer,41,Business Travel,Business,488.0,2,1,1,4,4,3,4,18.0,13.0,Dissatisfied
Female,Loyal Customer,44,Business Travel,Business,488.0,2,5,5,5,2,2,4,102.0,96.0,Dissatisfied
Female,Loyal Customer,68,Personal Travel,Business,488.0,3,1,3,3,5,5,3,5.0,0.0,Dissatisfied
Female,Disloyal Customer,37,Business Travel,Business,488.0,2,1,1,5,5,5,5,7.0,2.0,Dissatisfied
Male,Loyal Customer,47,Business Travel,Business,488.0,5,5,2,3,4,4,5,0.0,0.0,Satisfied
Female,Loyal Customer,50,Business Travel,Business,488.0,2,2,2,3,4,4,5,0.0,0.0,Satisfied
Female,Disloyal Customer,39,Business Travel,Business,488.0,1,1,1,5,5,4,5,24.0,21.0,Neutral
Male,Loyal Customer,34,Business Travel,Business,488.0,2,2,2,3,5,5,5,130.0,114.0,Satisfied
Female,Disloyal Customer,34,Business Travel,Business,488.0,2,3,3,3,3,4,3,25.0,32.0,Dissatisfied
Female,Loyal Customer,41,Business Travel,Business,488.0,5,5,5,4,4,4,4,0.0,0.0,Satisfied
Male,Loyal Customer,47,Business Travel,Business,488.0,2,4,4,2,2,2,2,17.0,4.0,Dissatisfied
Male,Loyal Customer,70,Business Travel,Business,488.0,1,3,1,5,4,4,4,2.0,17.0,Satisfied
Male,Loyal Customer,55,Business Travel,Business,488.0,3,4,3,4,4,4,5,11.0,15.0,Satisfied
Male,Disloyal Customer,39,Business Travel,Business,488.0,4,4,4,3,3,5,3,15.0,9.0,Neutral
Female,Loyal Customer,52,Personal Travel,Business,488.0,5,4,5,3,1,1,2,0.0,0.0,Satisfied
Male,Loyal Customer,54,Business Travel,Business,488.0,3,3,3,4,4,4,4,40.0,24.0,Satisfied
Female,Loyal Customer,60,Business Travel,Business,488.0,4,4,4,2,4,4,4,0.0,0.0,Satisfied
Female,Loyal Customer,48,Business Travel,Business,488.0,5,5,5,2,5,5,4,9.0,0.0,Satisfied
Male,Loyal Customer,41,Business Travel,Business,488.0,2,2,1,4,5,5,4,53.0,46.0,Satisfied
Female,Disloyal Customer,24,Business Travel,Business,488.0,0,1,1,4,4,5,4,7.0,45.0,Satisfied
Male,Loyal Customer,34,Business Travel,Business,488.0,4,4,4,5,4,4,4,12.0,1.0,Satisfied
Female,Disloyal Customer,22,Business Travel,Business,488.0,1,1,3,4,4,4,4,0.0,0.0,Neutral
Male,Loyal Customer,17,Personal Travel,Business,488.0,2,2,4,2,2,4,2,19.0,18.0,Dissatisfied
Female,Disloyal Customer,25,Business Travel,Business,488.0,2,4,2,2,2,4,2,0.0,0.0,Unknown
Female,Disloyal Customer,39,Business Travel,Business,488.0,4,4,4,5,5,5,5,71.0,85.0,Neutral
Female,Loyal Customer,13,Business Travel,Business,488.0,3,3,3,3,3,3,3,23.0,28.0,Dissatisfied
Female,Loyal Customer,43,Business Travel,Business,488.0,4,4,4,2,4,4,3,0.0,0.0,Satisfied
Female,Loyal Customer,33,Business Travel,Business,488.0,3,3,3,4,4,4,4,0.0,0.0,Neutral
Female,Loyal Customer,27,Business Travel,Business,488.0,1,1,4,2,2,4,2,9.0,3.0,Satisfied
Male,Loyal Customer,38,Business Travel,Business,488.0,3,3,3,4,5,5,5,21.0,31.0,Satisfied
Male,Loyal Customer,69,Business Travel,Business,488.0,3,3,3,4,4,4,4,2.0,0.0,Satisfied
Male,Loyal Customer,40,Business Travel,Business,488.0,5,5,3,2,5,5,5,0.0,0.0,Satisfied
Female,Disloyal Customer,39,Business Travel,Business,488.0,3,4,4,5,5,5,5,0.0,0.0,Neutral
Female,Loyal Customer,24,Business Travel,Business,488.0,3,1,1,3,3,5,3,30.0,45.0,Dissatisfied
Male,Disloyal Customer,26,Business Travel,Business,488.0,2,2,2,4,4,5,4,0.0,0.0,Dissatisfied
Female,Disloyal Customer,27,Business Travel,Business,488.0,1,2,2,5,5,4,5,0.0,5.0,Dissatisfied
Male,Loyal Customer,34,Business Travel,Business,488.0,4,1,1,5,4,4,4,12.0,14.0,Dissatisfied
Female,Loyal Customer,55,Personal Travel,Business,488.0,5,1,5,5,5,5,2,0.0,0.0,Satisfied
Female,Disloyal Customer,8,Business Travel,Business,337.0,2,1,3,5,3,2,3,2.0,0.0,Dissatisfied
Female,Loyal Customer,42,Business Travel,Business,489.0,3,4,3,4,4,4,4,0.0,0.0,Neutral
Male,Loyal Customer,40,Business Travel,Business,489.0,5,5,5,3,5,5,4,0.0,0.0,Satisfied
Female,Loyal Customer,47,Business Travel,Business,489.0,3,3,3,2,4,4,5,47.0,36.0,Satisfied
Male,Loyal Customer,45,Business Travel,Business,489.0,5,5,5,5,4,4,4,0.0,0.0,Satisfied
Male,Loyal Customer,49,Business Travel,Business,489.0,1,1,1,3,5,5,4,0.0,43.0,Satisfied
Male,Disloyal Customer,24,Business Travel,Business,489.0,0,1,1,3,3,5,3,0.0,45.0,Satisfied
Male,Loyal Customer,43,Business Travel,Business,489.0,4,4,4,2,4,4,5,37.0,47.0,Satisfied
Female,Loyal Customer,18,Business Travel,Business,337.0,4,4,3,5,5,5,5,2.0,0.0,Satisfied
Female,Loyal Customer,53,Personal Travel,Business,489.0,3,3,4,4,4,4,2,0.0,0.0,Dissatisfied
Female,Loyal Customer,52,Business Travel,Business,489.0,4,4,4,1,5,5,5,0.0,0.0,Satisfied
Male,Loyal Customer,45,Business Travel,Business,489.0,3,5,3,4,4,4,4,0.0,0.0,Neutral
Male,Loyal Customer,52,Personal Travel,Business,489.0,3,2,3,3,3,3,2,0.0,6.0,Dissatisfied
Male,Loyal Customer,63,Personal Travel,Business,489.0,4,2,4,5,2,2,3,25.0,22.0,Dissatisfied
Male,Loyal Customer,16,Personal Travel,Business,489.0,1,3,3,4,4,4,4,0.0,0.0,Neutral
Female,Loyal Customer,38,Business Travel,Business,489.0,2,2,3,4,3,3,4,17.0,19.0,Satisfied
Male,Loyal Customer,19,Business Travel,Business,489.0,3,3,3,3,3,2,3,36.0,31.0,Dissatisfied
Female,Loyal Customer,58,Business Travel,Business,489.0,1,1,3,4,4,4,4,0.0,0.0,Neutral
Female,Loyal Customer,42,Business Travel,Business,489.0,5,5,5,2,3,3,3,0.0,2.0,Satisfied
Male,Loyal Customer,26,Business Travel,Business,489.0,4,4,4,5,5,2,5,36.0,36.0,Satisfied
Female,Disloyal Customer,25,Business Travel,Business,489.0,4,5,3,4,4,4,4,0.0,0.0,Unknown
Male,Loyal Customer,49,Business Travel,Business,490.0,4,4,4,5,4,4,4,0.0,0.0,Satisfied
Female,Disloyal Customer,25,Business Travel,Business,490.0,2,1,2,3,3,5,3,0.0,0.0,Unknown
Female,Disloyal Customer,17,Business Travel,Business,490.0,4,1,4,4,4,5,4,0.0,0.0,Satisfied
Male,Loyal Customer,53,Business Travel,Business,490.0,4,4,4,3,5,5,3,0.0,0.0,Satisfied
Male,Disloyal Customer,18,Business Travel,Business,337.0,5,1,3,4,4,4,4,0.0,0.0,Neutral
Male,Loyal Customer,57,Business Travel,Business,491.0,4,4,4,3,3,3,3,4.0,2.0,Satisfied
Female,Loyal Customer,52,Business Travel,Business,491.0,3,3,3,5,4,4,5,0.0,0.0,Satisfied
Female,Loyal Customer,45,Business Travel,Business,491.0,4,4,4,2,5,5,3,3.0,17.0,Satisfied
Male,Disloyal Customer,69,Business Travel,Business,491.0,4,4,4,2,2,4,2,0.0,0.0,Satisfied
Female,Disloyal Customer,45,Business Travel,Business,491.0,3,3,3,2,2,4,2,0.0,0.0,Dissatisfied
Female,Loyal Customer,40,Business Travel,Business,491.0,3,3,3,1,3,3,2,67.0,67.0,Dissatisfied
Male,Loyal Customer,34,Business Travel,Business,491.0,2,5,2,5,4,4,4,0.0,0.0,Satisfied
Female,Loyal Customer,43,Business Travel,Business,491.0,3,3,3,2,4,4,3,0.0,0.0,Satisfied
Male,Loyal Customer,26,Business Travel,Business,491.0,4,4,4,4,4,4,4,15.0,4.0,Satisfied
Male,Loyal Customer,32,Business Travel,Business,491.0,2,2,2,2,2,3,2,30.0,17.0,Dissatisfied
Female,Disloyal Customer,37,Business Travel,Business,491.0,4,4,4,2,2,4,2,1.0,13.0,Satisfied
Female,Loyal Customer,19,Business Travel,Business,491.0,5,3,5,4,4,1,4,0.0,0.0,Satisfied
Female,Disloyal Customer,50,Business Travel,Business,491.0,3,3,3,4,4,4,4,0.0,0.0,Neutral
Male,Loyal Customer,20,Business Travel,Business,491.0,3,4,4,3,5,4,3,40.0,23.0,Dissatisfied
Male,Loyal Customer,16,Business Travel,Business,491.0,1,1,1,4,4,3,4,13.0,6.0,Satisfied
Male,Loyal Customer,33,Business Travel,Business,491.0,2,2,2,4,4,5,4,92.0,83.0,Satisfied
Female,Disloyal Customer,25,Business Travel,Business,491.0,2,1,2,5,5,5,5,0.0,0.0,Unknown
Male,Loyal Customer,30,Business Travel,Business,337.0,4,4,3,4,3,5,3,10.0,0.0,Satisfied
Female,Loyal Customer,9,Business Travel,Business,337.0,1,1,3,5,5,5,5,2.0,0.0,Satisfied
Female,Loyal Customer,40,Business Travel,Business,491.0,1,1,1,2,4,4,3,3.0,0.0,Satisfied
Female,Loyal Customer,54,Business Travel,Business,491.0,1,1,2,5,2,2,3,0.0,0.0,Satisfied
Female,Disloyal Customer,26,Business Travel,Business,491.0,2,5,2,4,4,5,4,77.0,61.0,Dissatisfied
Male,Loyal Customer,36,Business Travel,Business,491.0,2,1,1,4,2,2,2,33.0,28.0,Dissatisfied
Male,Loyal Customer,56,Business Travel,Business,493.0,3,3,3,5,3,3,3,0.0,0.0,Dissatisfied
Female,Loyal Customer,41,Business Travel,Business,493.0,3,3,3,2,4,4,4,0.0,0.0,Satisfied
Male,Loyal Customer,48,Personal Travel,Business,493.0,3,4,3,3,5,4,3,2.0,0.0,Dissatisfied
Female,Loyal Customer,39,Business Travel,Business,493.0,2,4,5,2,2,3,2,0.0,0.0,Unknown
Male,Disloyal Customer,39,Business Travel,Business,493.0,2,4,4,2,2,3,2,0.0,0.0,Neutral
Male,Loyal Customer,41,Business Travel,Business,493.0,5,5,5,3,4,4,3,47.0,42.0,Satisfied
Male,Loyal Customer,33,Business Travel,Business,493.0,1,1,1,2,2,4,2,0.0,5.0,Satisfied
Female,Loyal Customer,39,Business Travel,Business,493.0,3,3,3,4,4,4,4,0.0,0.0,Neutral
Male,Loyal Customer,43,Business Travel,Business,493.0,1,1,1,4,5,5,5,0.0,0.0,Satisfied
Male,Disloyal Customer,39,Business Travel,Business,493.0,5,5,5,3,3,4,3,9.0,0.0,Satisfied
Male,Loyal Customer,53,Business Travel,Business,493.0,3,4,4,5,3,3,3,0.0,0.0,Dissatisfied
Female,Loyal Customer,33,Business Travel,Business,493.0,3,2,3,4,4,4,4,0.0,0.0,Neutral
Male,Disloyal Customer,52,Business Travel,Business,493.0,3,3,3,3,3,4,3,0.0,0.0,Dissatisfied
Female,Disloyal Customer,20,Business Travel,Business,493.0,4,5,4,2,5,4,2,0.0,0.0,Satisfied
Female,Loyal Customer,37,Business Travel,Business,493.0,4,4,4,2,4,4,5,0.0,0.0,Satisfied
Male,Loyal Customer,42,Business Travel,Business,493.0,4,4,4,1,5,5,5,0.0,0.0,Satisfied
Female,Loyal Customer,44,Business Travel,Business,493.0,2,2,5,5,4,5,5,100.0,132.0,Satisfied
Female,Loyal Customer,43,Business Travel,Business,493.0,3,3,3,4,4,4,4,0.0,0.0,Neutral
Male,Loyal Customer,55,Business Travel,Business,493.0,2,2,3,4,4,4,4,0.0,0.0,Neutral
Female,Loyal Customer,26,Personal Travel,Business,493.0,2,4,2,5,5,4,5,0.0,0.0,Dissatisfied
Female,Loyal Customer,69,Business Travel,Business,494.0,1,4,4,1,1,1,3,64.0,70.0,Dissatisfied
Female,Loyal Customer,54,Personal Travel,Business,495.0,3,4,3,5,5,5,2,8.0,10.0,Dissatisfied
Female,Loyal Customer,25,Business Travel,Business,495.0,1,2,3,4,4,4,4,0.0,0.0,Unknown
Male,Disloyal Customer,27,Business Travel,Business,495.0,2,2,2,2,2,1,2,0.0,0.0,Dissatisfied
Male,Disloyal Customer,39,Business Travel,Business,495.0,0,1,1,3,3,4,3,0.0,0.0,Neutral
Female,Disloyal Customer,38,Business Travel,Business,495.0,4,4,4,3,3,4,3,8.0,34.0,Dissatisfied
Female,Disloyal Customer,25,Business Travel,Business,495.0,5,3,3,4,4,4,4,0.0,0.0,Unknown
Female,Disloyal Customer,35,Business Travel,Business,495.0,3,3,3,5,5,5,5,16.0,12.0,Dissatisfied
Female,Loyal Customer,27,Personal Travel,Business,495.0,2,4,2,5,5,4,5,3.0,6.0,Dissatisfied
Male,Loyal Customer,10,Business Travel,Business,337.0,3,3,3,5,5,5,5,2.0,0.0,Satisfied
Female,Disloyal Customer,25,Business Travel,Business,495.0,2,1,2,5,5,4,5,0.0,0.0,Unknown
Female,Loyal Customer,64,Personal Travel,Business,495.0,3,4,3,5,4,2,3,8.0,11.0,Dissatisfied
Male,Loyal Customer,39,Business Travel,Business,495.0,5,5,5,2,5,5,5,0.0,0.0,Satisfied
Male,Loyal Customer,60,Business Travel,Business,495.0,3,3,3,5,3,3,4,44.0,39.0,Satisfied
Male,Loyal Customer,38,Business Travel,Business,495.0,1,1,1,3,5,5,3,11.0,10.0,Satisfied
Female,Disloyal Customer,39,Business Travel,Business,495.0,2,2,2,3,3,5,3,0.0,0.0,Neutral
Female,Loyal Customer,44,Personal Travel,Business,495.0,2,4,2,2,1,1,5,0.0,0.0,Dissatisfied
Female,Loyal Customer,11,Business Travel,Business,495.0,2,4,4,2,2,4,2,72.0,62.0,Dissatisfied
Male,Disloyal Customer,26,Business Travel,Business,495.0,2,2,3,4,4,4,4,0.0,0.0,Neutral
Male,Disloyal Customer,26,Business Travel,Business,495.0,5,5,5,2,2,4,2,0.0,0.0,Satisfied
Male,Loyal Customer,53,Business Travel,Business,495.0,5,5,3,4,4,4,4,0.0,0.0,Neutral
Female,Loyal Customer,27,Business Travel,Business,495.0,1,4,3,4,4,4,4,0.0,0.0,Neutral
Female,Loyal Customer,59,Business Travel,Business,495.0,1,1,2,2,5,5,3,0.0,0.0,Satisfied
Male,Disloyal Customer,34,Business Travel,Business,495.0,3,3,3,4,4,4,4,0.0,0.0,Neutral
Male,Disloyal Customer,34,Business Travel,Business,495.0,1,1,1,1,4,4,4,150.0,141.0,Dissatisfied
Female,Disloyal Customer,41,Business Travel,Business,495.0,4,4,4,4,4,2,4,110.0,109.0,Satisfied
Male,Loyal Customer,33,Business Travel,Business,495.0,3,3,3,5,5,4,5,3.0,0.0,Satisfied
Male,Loyal Customer,48,Business Travel,Business,495.0,3,3,3,2,5,5,4,21.0,21.0,Satisfied
Female,Loyal Customer,17,Business Travel,Business,495.0,2,3,3,2,2,4,2,2.0,0.0,Dissatisfied
Male,Loyal Customer,30,Business Travel,Business,337.0,4,2,3,4,3,1,3,10.0,0.0,Satisfied
Male,Loyal Customer,47,Business Travel,Business,495.0,1,1,3,4,4,4,4,0.0,0.0,Neutral
Male,Loyal Customer,30,Personal Travel,Business,337.0,3,2,3,4,2,3,2,10.0,0.0,Dissatisfied
Female,Disloyal Customer,34,Business Travel,Business,495.0,2,2,2,2,2,5,2,0.0,0.0,Dissatisfied
Male,Loyal Customer,12,Business Travel,Business,495.0,3,5,5,3,3,4,3,31.0,24.0,Dissatisfied
Female,Loyal Customer,25,Business Travel,Business,495.0,2,1,1,2,2,3,2,0.0,0.0,Unknown
Female,Loyal Customer,25,Business Travel,Business,496.0,4,4,4,4,4,5,4,0.0,0.0,Unknown
Female,Loyal Customer,60,Business Travel,Business,496.0,4,4,4,2,5,5,3,12.0,2.0,Satisfied
Female,Loyal Customer,49,Personal Travel,Business,496.0,4,4,4,3,2,2,5,0.0,0.0,Dissatisfied
Female,Loyal Customer,54,Business Travel,Business,496.0,2,2,2,2,4,4,3,0.0,5.0,Satisfied
Male,Disloyal Customer,38,Business Travel,Business,496.0,1,1,1,3,3,5,3,9.0,6.0,Dissatisfied
Male,Loyal Customer,41,Business Travel,Business,496.0,2,2,3,4,4,4,4,0.0,0.0,Neutral
Male,Loyal Customer,47,Personal Travel,Business,496.0,4,5,2,2,3,3,5,0.0,0.0,Dissatisfied
Female,Loyal Customer,25,Business Travel,Business,496.0,5,5,5,5,5,4,5,0.0,0.0,Unknown
Female,Loyal Customer,17,Personal Travel,Business,496.0,5,5,5,4,4,5,4,0.0,0.0,Satisfied
Female,Loyal Customer,52,Business Travel,Business,496.0,1,1,1,2,5,5,5,0.0,1.0,Satisfied
Male,Loyal Customer,32,Personal Travel,Business,496.0,4,4,5,3,3,4,3,0.0,0.0,Dissatisfied
Female,Disloyal Customer,24,Business Travel,Business,496.0,5,1,5,2,2,5,2,0.0,45.0,Satisfied
Male,Loyal Customer,57,Personal Travel,Business,496.0,4,4,4,3,1,1,3,0.0,0.0,Dissatisfied
Male,Disloyal Customer,16,Business Travel,Business,496.0,5,4,5,5,5,4,5,1.0,0.0,Satisfied
Female,Disloyal Customer,27,Business Travel,Business,500.0,4,5,5,3,3,5,3,0.0,0.0,Satisfied
Female,Loyal Customer,34,Business Travel,Business,500.0,1,1,1,3,4,4,3,0.0,0.0,Satisfied
Male,Loyal Customer,50,Business Travel,Business,500.0,3,5,3,5,5,5,5,25.0,31.0,Satisfied
Female,Loyal Customer,72,Business Travel,Business,500.0,2,3,3,3,2,2,2,0.0,0.0,Dissatisfied
Male,Disloyal Customer,37,Business Travel,Business,500.0,1,2,2,5,5,5,5,4.0,16.0,Dissatisfied
Female,Loyal Customer,51,Business Travel,Business,500.0,3,3,3,4,3,3,5,24.0,12.0,Satisfied
Male,Loyal Customer,33,Business Travel,Business,500.0,4,4,4,4,4,5,4,0.0,13.0,Satisfied
Male,Loyal Customer,55,Business Travel,Business,500.0,2,2,2,3,4,4,3,0.0,10.0,Satisfied
Male,Loyal Customer,45,Business Travel,Business,500.0,1,1,1,2,3,3,5,0.0,0.0,Satisfied
Male,Loyal Customer,72,Business Travel,Business,500.0,3,1,3,4,4,4,4,0.0,0.0,Neutral
Male,Loyal Customer,13,Personal Travel,Business,500.0,1,3,1,4,4,3,4,0.0,0.0,Dissatisfied
Male,Disloyal Customer,59,Business Travel,Business,500.0,1,2,2,2,2,2,2,4.0,0.0,Dissatisfied
Female,Loyal Customer,39,Business Travel,Business,500.0,2,2,2,5,4,4,4,0.0,0.0,Satisfied
Male,Loyal Customer,55,Business Travel,Business,500.0,1,5,5,1,1,1,4,0.0,27.0,Dissatisfied
Female,Loyal Customer,50,Business Travel,Business,500.0,2,2,2,5,4,4,5,0.0,0.0,Satisfied
Female,Disloyal Customer,18,Business Travel,Business,337.0,0,1,3,5,4,5,4,2.0,0.0,Satisfied
Female,Loyal Customer,53,Business Travel,Business,500.0,4,4,4,5,3,3,4,0.0,0.0,Satisfied
Female,Loyal Customer,68,Personal Travel,Business,500.0,2,1,3,4,4,4,4,0.0,0.0,Neutral
Male,Disloyal Customer,39,Business Travel,Business,500.0,1,1,1,4,4,5,4,0.0,0.0,Neutral
Female,Loyal Customer,64,Personal Travel,Business,500.0,2,5,2,2,3,3,5,0.0,0.0,Dissatisfied
Male,Loyal Customer,20,Business Travel,Business,500.0,3,3,3,4,5,5,4,0.0,0.0,Satisfied
Female,Disloyal Customer,25,Business Travel,Business,500.0,3,4,3,3,3,5,3,0.0,0.0,Unknown
Male,Loyal Customer,61,Business Travel,Business,500.0,4,4,5,3,5,5,4,2.0,2.0,Satisfied
Male,Loyal Customer,47,Business Travel,Business,500.0,3,3,3,4,3,3,4,0.0,1.0,Dissatisfied
Male,Loyal Customer,51,Business Travel,Business,500.0,5,5,5,5,3,3,4,64.0,50.0,Satisfied
Female,Loyal Customer,61,Personal Travel,Business,500.0,2,4,2,4,1,1,5,9.0,3.0,Dissatisfied
Male,Loyal Customer,60,Business Travel,Business,500.0,3,3,2,2,5,5,5,0.0,0.0,Satisfied
Male,Loyal Customer,27,Business Travel,Business,500.0,4,5,4,5,5,5,5,0.0,0.0,Satisfied
Male,Loyal Customer,39,Business Travel,Business,500.0,3,3,3,3,3,4,3,0.0,1.0,Unknown
Male,Disloyal Customer,19,Business Travel,Business,500.0,5,1,5,4,4,4,4,0.0,0.0,Satisfied
Female,Loyal Customer,55,Business Travel,Business,500.0,4,4,4,3,3,3,4,2.0,0.0,Satisfied
Female,Loyal Customer,22,Business Travel,Business,500.0,1,1,1,5,5,2,5,0.0,0.0,Satisfied
Male,Loyal Customer,39,Business Travel,Business,500.0,3,3,3,3,3,4,3,0.0,0.0,Unknown
Female,Loyal Customer,40,Business Travel,Business,500.0,5,5,5,5,5,5,5,0.0,0.0,Satisfied
Female,Loyal Customer,44,Business Travel,Business,500.0,2,2,2,3,5,5,4,14.0,0.0,Satisfied
Male,Loyal Customer,55,Business Travel,Business,500.0,3,3,3,4,4,4,4,0.0,0.0,Satisfied
Male,Loyal Customer,49,Business Travel,Business,500.0,2,1,5,1,2,2,2,0.0,0.0,Dissatisfied
Male,Loyal Customer,56,Business Travel,Business,500.0,2,2,2,3,4,4,4,4.0,3.0,Satisfied
Female,Loyal Customer,33,Business Travel,Business,500.0,2,3,3,1,2,2,4,24.0,11.0,Dissatisfied
Male,Loyal Customer,54,Business Travel,Business,500.0,3,3,3,2,5,5,4,0.0,23.0,Satisfied
Female,Disloyal Customer,38,Business Travel,Business,500.0,4,4,3,4,4,4,4,0.0,0.0,Neutral
Male,Loyal Customer,53,Business Travel,Business,500.0,2,2,2,3,5,5,5,30.0,23.0,Satisfied
Male,Loyal Customer,39,Business Travel,Business,500.0,5,5,5,4,4,5,4,52.0,43.0,Unknown
Male,Disloyal Customer,52,Business Travel,Business,500.0,5,5,5,5,5,4,5,12.0,0.0,Satisfied
Female,Loyal Customer,24,Business Travel,Business,500.0,1,5,1,3,3,5,3,0.0,45.0,Satisfied
Female,Loyal Customer,49,Business Travel,Business,500.0,5,5,5,5,4,4,3,0.0,0.0,Satisfied
Male,Loyal Customer,40,Business Travel,Business,500.0,4,4,4,5,3,3,4,47.0,26.0,Satisfied
Female,Loyal Customer,20,Personal Travel,Business,501.0,3,5,3,4,5,4,4,98.0,96.0,Dissatisfied
Male,Disloyal Customer,21,Business Travel,Business,501.0,4,1,3,4,4,4,4,0.0,0.0,Neutral
Female,Disloyal Customer,39,Business Travel,Business,501.0,4,4,4,3,3,5,3,72.0,80.0,Neutral
Female,Loyal Customer,42,Business Travel,Business,501.0,2,3,4,3,2,2,3,0.0,0.0,Dissatisfied
Male,Loyal Customer,30,Business Travel,Business,337.0,1,1,3,4,2,1,2,10.0,0.0,Dissatisfied
Female,Loyal Customer,38,Business Travel,Business,501.0,4,4,4,5,4,4,2,0.0,0.0,Satisfied
Male,Loyal Customer,40,Business Travel,Business,501.0,3,1,3,5,3,3,5,0.0,0.0,Satisfied
Female,Loyal Customer,24,Business Travel,Business,501.0,1,1,1,4,4,5,4,59.0,45.0,Satisfied
Male,Loyal Customer,54,Business Travel,Business,501.0,1,1,1,5,4,4,5,0.0,1.0,Satisfied
Male,Disloyal Customer,26,Business Travel,Business,501.0,3,4,4,2,2,4,2,0.0,3.0,Dissatisfied
Female,Loyal Customer,38,Personal Travel,Business,501.0,4,5,4,3,1,1,5,0.0,0.0,Dissatisfied
